round	timestamp	action	description	source	sharpe	roi_pct	brier	trades	status	note
1	2026-07-12T22:20:42.798917+00:00	mutation	'Boost UKMO + GEM, trim ECMWF'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
2	2026-07-12T22:20:45.353701+00:00	mutation	'kelly 0.20'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
3	2026-07-12T22:20:48.219664+00:00	mutation	'min_edge 0.05'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
4	2026-07-12T22:20:52.772990+00:00	mutation	'Boost ICON + GEM, trim UKMO'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
5	2026-07-12T22:20:57.214851+00:00	mutation	'kelly 0.10'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
6	2026-07-12T22:21:00.177622+00:00	mutation	'blend 0.50'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
1	2026-07-12T22:24:52.833709+00:00	mutation	'Boost UKMO + GEM, trim ECMWF'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
2	2026-07-12T22:24:56.171033+00:00	mutation	'kelly 0.20'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
3	2026-07-12T22:24:59.201170+00:00	mutation	'min_edge 0.05'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
1	2026-07-12T22:28:17.011839+00:00	mutation	'Boost UKMO + GEM, trim ECMWF'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
2	2026-07-12T22:28:18.914402+00:00	mutation	'kelly 0.20'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
3	2026-07-12T22:28:21.152157+00:00	mutation	'min_edge 0.05'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
1	2026-07-12T23:28:31.855549+00:00	mutation	'Boost UKMO + GEM, trim ECMWF'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
2	2026-07-12T23:28:39.978707+00:00	mutation	'kelly 0.20'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
3	2026-07-12T23:28:50.660506+00:00	mutation	'min_edge 0.05'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
1	2026-07-13T01:44:58.979184+00:00	mutation	'Boost UKMO + GEM, trim ECMWF'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
2	2026-07-13T01:45:01.137372+00:00	mutation	'kelly 0.20'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
3	2026-07-13T01:45:03.268863+00:00	mutation	'min_edge 0.05'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
1	2026-07-13T01:48:42.059506+00:00	mutation	'Boost UKMO + GEM, trim ECMWF'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
2	2026-07-13T01:48:43.919316+00:00	mutation	'kelly 0.20'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
3	2026-07-13T01:48:45.711154+00:00	mutation	'min_edge 0.05'	v2_mutation	-0.1476	11.88	0.5575	266	reject	
1	2026-07-13T22:31:15.350627+00:00	mutation	'Boost UKMO + GEM, trim ECMWF'	v2_mutation	0.105	31.98	0.3254	1310	keep	
2	2026-07-13T22:31:25.646203+00:00	mutation	'kelly 0.20'	v2_mutation	0.105	31.98	0.3254	1310	reject	
3	2026-07-13T22:31:32.953899+00:00	mutation	'min_edge 0.05'	v2_mutation	0.105	31.98	0.3254	1310	reject	
4	2026-07-13T22:31:40.796416+00:00	mutation	'Boost ICON + GEM, trim UKMO'	v2_mutation	0.105	31.98	0.3254	1310	reject	
